#             eta             phi             dep             det    value      DetId
               -1               1               1              HB  1.28281   42004081
               -2               1               1              HB  1.24461   42004101
               -3               1               1              HB  1.27384   42004181
               -4               1               1              HB  1.38585   42004201
               -5               1               1              HB  1.25803   42004281
               -6               1               1              HB  1.19818   42004301
               -7               1               1              HB  1.33679   42004381
               -8               1               1              HB  1.30171   42004401
               -9               1               1              HB  1.34969   42004481
              -10               1               1              HB  1.21057   42004501
              -11               1               1              HB  1.38246   42004581
              -12               1               1              HB  1.33093   42004601
              -13               1               1              HB  1.35595   42004681
              -14               1               1              HB  0.99348   42004701
              -15               1               1              HB  1.18432   42004781
              -15               1               2              HB  0.88474   42008781
              -16               1               1              HB  1.39225   42004801
              -16               1               2              HB  1.42537   42008801
               -1               2               1              HB  1.31233   42004082
               -2               2               1              HB  1.28041   42004102
               -3               2               1              HB  1.26354   42004182
               -4               2               1              HB  1.23848   42004202
               -5               2               1              HB  1.20932   42004282
               -6               2               1              HB  1.21320   42004302
               -7               2               1              HB  1.29414   42004382
               -8               2               1              HB  1.27767   42004402
               -9               2               1              HB  1.27586   42004482
              -10               2               1              HB  1.30836   42004502
              -11               2               1              HB  1.28072   42004582
              -12               2               1              HB  1.26993   42004602
              -13               2               1              HB  1.33740   42004682
              -14               2               1              HB  1.23291   42004702
              -15               2               1              HB  1.27404   42004782
              -15               2               2              HB  1.25367   42008782
              -16               2               1              HB  1.64340   42004802
              -16               2               2              HB  1.40170   42008802
               -1               3               1              HB  1.15878   42004083
               -2               3               1              HB  1.16606   42004103
               -3               3               1              HB  1.11238   42004183
               -4               3               1              HB  1.19348   42004203
               -5               3               1              HB  1.10399   42004283
               -6               3               1              HB  1.11460   42004303
               -7               3               1              HB  1.11647   42004383
               -8               3               1              HB  1.11471   42004403
               -9               3               1              HB  1.20001   42004483
              -10               3               1              HB  1.13832   42004503
              -11               3               1              HB  1.10802   42004583
              -12               3               1              HB  1.13635   42004603
              -13               3               1              HB  1.18091   42004683
              -14               3               1              HB  1.09290   42004703
              -15               3               1              HB  1.10004   42004783
              -15               3               2              HB  1.13446   42008783
              -16               3               1              HB  1.22360   42004803
              -16               3               2              HB  1.19950   42008803
               -1               4               1              HB  1.07732   42004084
               -2               4               1              HB  1.06639   42004104
               -3               4               1              HB  1.01722   42004184
               -4               4               1              HB  1.00678   42004204
               -5               4               1              HB  1.05275   42004284
               -6               4               1              HB  1.00834   42004304
               -7               4               1              HB  1.01792   42004384
               -8               4               1              HB  1.11170   42004404
               -9               4               1              HB  1.08479   42004484
              -10               4               1              HB  0.99160   42004504
              -11               4               1              HB  0.99928   42004584
              -12               4               1              HB  0.97721   42004604
              -13               4               1              HB  0.98877   42004684
              -14               4               1              HB  0.90517   42004704
              -15               4               1              HB  0.99720   42004784
              -15               4               2              HB  0.85811   42008784
              -16               4               1              HB  1.09534   42004804
              -16               4               2              HB  0.99557   42008804
               -1               5               1              HB  1.25055   42004085
               -2               5               1              HB  1.24328   42004105
               -3               5               1              HB  1.23669   42004185
               -4               5               1              HB  1.19312   42004205
               -5               5               1              HB  1.17806   42004285
               -6               5               1              HB  1.16377   42004305
               -7               5               1              HB  1.23612   42004385
               -8               5               1              HB  1.31370   42004405
               -9               5               1              HB  1.22103   42004485
              -10               5               1              HB  1.26795   42004505
              -11               5               1              HB  1.30351   42004585
              -12               5               1              HB  1.23661   42004605
              -13               5               1              HB  1.23337   42004685
              -14               5               1              HB  1.11812   42004705
              -15               5               1              HB  1.17336   42004785
              -15               5               2              HB  1.05778   42008785
              -16               5               1              HB  1.32845   42004805
              -16               5               2              HB  1.36314   42008805
               -1               6               1              HB  0.96665   42004086
               -2               6               1              HB  1.03114   42004106
               -3               6               1              HB  1.01071   42004186
               -4               6               1              HB  1.02891   42004206
               -5               6               1              HB  1.02950   42004286
